NP_241437.1	NP_242944.1	57.6989700043
NP_241785.1	NP_243490.1	78.5
NP_241136.1	NP_241820.1	170.071333752
NP_243640.1	NP_244275.1	169.349485002
NP_242906.1	NP_242912.1	87.6109243748
NP_241348.1	NP_241930.1	18.8098943791
NP_242213.1	NP_244452.1	95.5
NP_242900.1	NP_242908.1	23.2614393726
NP_243833.1	NP_244113.1	167.698970004
NP_242173.1	NP_242567.1	169.022878745
NP_244452.1	NP_244619.1	115.688375355
NP_243833.1	NP_244275.1	167.698970004
NP_242829.1	NP_244366.1	168.22184875
NP_244055.1	NP_244304.1	5.69897000434
NP_241135.1	NP_244345.1	115.0
NP_242776.1	NP_244313.1	15.6109243748
NP_241136.1	NP_243243.1	170.071333752
NP_241534.1	NP_243844.1	168.22184875
NP_244860.1	NP_244885.1	53.460409377
NP_241354.1	NP_241770.1	26.5
NP_243897.1	NP_244606.1	133.0
NP_242936.1	NP_244304.1	15.9269359822
NP_244366.1	NP_244452.1	94.1989700043
NP_241527.1	NP_244563.1	132.522878745
NP_244853.1	NP_244873.1	104.460409377
NP_242036.1	NP_244113.1	169.125905986
NP_241111.1	NP_243788.1	169.261439373
NP_241661.1	NP_241932.1	57.1989700043
NP_241770.1	NP_244551.1	9.30989437914
NP_241111.1	NP_242049.1	169.261439373
NP_241706.1	NP_241707.1	15.8494850022
NP_242567.1	NP_244452.1	52.0228787453
NP_242910.1	NP_242913.1	54.2614393726
NP_242508.1	NP_244333.1	115.0
NP_241676.1	NP_244377.1	72.3494850022
NP_242909.1	NP_242912.1	79.6109243748
NP_241523.1	NP_242359.1	27.8723637474
NP_241245.1	NP_243338.1	170.522878745
NP_241200.1	NP_241554.1	63.5228787453
NP_241915.1	NP_244275.1	169.15490196
NP_242412.1	NP_244275.1	168.22184875
NP_241111.1	NP_242204.1	169.261439373
NP_241848.1	NP_242720.1	124.048455007
NP_241915.1	NP_244432.1	169.15490196
NP_242036.1	NP_243343.1	169.125905986
NP_242002.1	NP_243823.1	113.301029996
