NC_020238|YP_007421093.1	NC_020238|YP_007424253.1	0.639
NC_020238|YP_007419896.1	NC_020238|YP_007424277.1	0.757
NC_020238|YP_007419778.1	NC_020238|YP_007421234.1	1.752
NC_020238|YP_007421201.1	NC_020238|YP_007424207.1	1.373
NC_020238|YP_007421284.1	NC_020238|YP_007422096.1	0.797
NC_020238|YP_007422917.1	NC_020238|YP_007424323.1	0.252
NC_020238|YP_007419311.1	NC_020238|YP_007420199.1	1.53
NC_020238|YP_007422475.1	NC_020238|YP_007422480.1	0.536
NC_020238|YP_007420019.1	NC_020238|YP_007421669.1	1.029
NC_020238|YP_007421238.1	NC_020238|YP_007421913.1	0.812
NC_020238|YP_007421388.1	NC_020238|YP_007424277.1	0.757
NC_020238|YP_007421238.1	NC_020238|YP_007422139.1	1.555
NC_020238|YP_007419299.1	NC_020238|YP_007421551.1	1.435
NC_020238|YP_007419570.1	NC_020238|YP_007419571.1	0.334
NC_020238|YP_007423429.1	NC_020238|YP_007424027.1	1.192
NC_020238|YP_007422059.1	NC_020238|YP_007422061.1	1.193
NC_020238|YP_007419866.1	NC_020238|YP_007421359.1	0.564
NC_020238|YP_007420956.1	NC_020238|YP_007422087.1	0.239
NC_020238|YP_007422308.1	NC_020238|YP_007424027.1	1.162
NC_020238|YP_007424554.1	NC_020238|YP_007424965.1	0.805
NC_020238|YP_007424362.1	NC_020238|YP_007424603.1	0.184
NC_020238|YP_007419524.1	NC_020238|YP_007424596.1	0.172
NC_020238|YP_007419858.1	NC_020238|YP_007420422.1	1.04
NC_020238|YP_007420138.1	NC_020238|YP_007420858.1	1.406
NC_020238|YP_007420194.1	NC_020238|YP_007422519.1	0.299
NC_020238|YP_007422137.1	NC_020238|YP_007423150.1	2.133
NC_020238|YP_007422696.1	NC_020238|YP_007424919.1	0.505
NC_020238|YP_007423348.1	NC_020238|YP_007423349.1	0.188
NC_020238|YP_007419666.1	NC_020238|YP_007424161.1	0.201
NC_020238|YP_007424277.1	NC_020238|YP_007424965.1	0.757
NC_020238|YP_007419524.1	NC_020238|YP_007419886.1	0.92
NC_020238|YP_007419393.1	NC_020238|YP_007424594.1	0.561
NC_020238|YP_007420194.1	NC_020238|YP_007424556.1	0.338
NC_020238|YP_007421355.1	NC_020238|YP_007424379.1	0.381
NC_020238|YP_007421811.1	NC_020238|YP_007424397.1	1.435
NC_020238|YP_007420257.1	NC_020238|YP_007421155.1	0.729
NC_020238|YP_007419779.1	NC_020238|YP_007421161.1	1.986
NC_020238|YP_007421388.1	NC_020238|YP_007422519.1	0.757
NC_020238|YP_007420386.1	NC_020238|YP_007421851.1	0.102
NC_020238|YP_007419621.1	NC_020238|YP_007422479.1	0.978
NC_020238|YP_007420468.1	NC_020238|YP_007424341.1	1.495
NC_020238|YP_007419896.1	NC_020238|YP_007422556.1	0.757
NC_020238|YP_007421758.1	NC_020238|YP_007422720.1	1.22
NC_020238|YP_007420490.1	NC_020238|YP_007421656.1	0.88
NC_020238|YP_007421151.1	NC_020238|YP_007421152.1	1.193
NC_020238|YP_007423261.1	NC_020238|YP_007423262.1	0.094
NC_020238|YP_007420196.1	NC_020238|YP_007423077.1	0.194
NC_020238|YP_007419857.1	NC_020238|YP_007421349.1	0.391
NC_020238|YP_007419888.1	NC_020238|YP_007421380.1	0.745
NC_020238|YP_007420139.1	NC_020238|YP_007421812.1	1.477
NC_020238|YP_007420509.1	NC_020238|YP_007422960.1	2.053
NC_020238|YP_007420858.1	NC_020238|YP_007421970.1	0.91
NC_020238|YP_007419811.1	NC_020238|YP_007422945.1	1.091
NC_020238|YP_007419810.1	NC_020238|YP_007422947.1	0.178
NC_020238|YP_007419319.1	NC_020238|YP_007420581.1	0.805
NC_020238|YP_007419782.1	NC_020238|YP_007423429.1	0.782
NC_020238|YP_007421593.1	NC_020238|YP_007424579.1	0.307
NC_020238|YP_007420199.1	NC_020238|YP_007424967.1	1.541
NC_020238|YP_007419528.1	NC_020238|YP_007419890.1	0.189
NC_020238|YP_007419359.1	NC_020238|YP_007424385.1	0.215
NC_020238|YP_007422060.1	NC_020238|YP_007422063.1	0.974
NC_020238|YP_007422134.1	NC_020238|YP_007424554.1	0.745
NC_020238|YP_007421356.1	NC_020238|YP_007424378.1	1.964
NC_020238|YP_007420138.1	NC_020238|YP_007421811.1	0.925
NC_020238|YP_007422606.1	NC_020238|YP_007424554.1	0.805
NC_020238|YP_007421150.1	NC_020238|YP_007421841.1	0.179
NC_020238|YP_007420308.1	NC_020238|YP_007420317.1	0.934
NC_020238|YP_007422378.1	NC_020238|YP_007424222.1	0.578
NC_020238|YP_007421565.1	NC_020238|YP_007422081.1	0.565
NC_020238|YP_007421851.1	NC_020238|YP_007424341.1	0.315
NC_020238|YP_007420199.1	NC_020238|YP_007424554.1	0.443
NC_020238|YP_007421515.1	NC_020238|YP_007424854.1	1.592
NC_020238|YP_007419904.1	NC_020238|YP_007421655.1	1.213
NC_020238|YP_007419313.1	NC_020238|YP_007422519.1	0.757
NC_020238|YP_007420278.1	NC_020238|YP_007422877.1	1.201
NC_020238|YP_007420670.1	NC_020238|YP_007422898.1	0.533
NC_020238|YP_007420392.1	NC_020238|YP_007422909.1	0.311
NC_020238|YP_007419531.1	NC_020238|YP_007421385.1	0.097
NC_020238|YP_007424240.1	NC_020238|YP_007424241.1	0.391
NC_020238|YP_007421515.1	NC_020238|YP_007424556.1	1.599
NC_020238|YP_007419582.1	NC_020238|YP_007419896.1	0.757
NC_020238|YP_007421142.1	NC_020238|YP_007422959.1	2.04
NC_020238|YP_007419530.1	NC_020238|YP_007421384.1	0.228
NC_020238|YP_007421950.1	NC_020238|YP_007422549.1	1.021
NC_020238|YP_007421397.1	NC_020238|YP_007421593.1	0.275
NC_020238|YP_007419782.1	NC_020238|YP_007424027.1	0.802
NC_020238|YP_007421970.1	NC_020238|YP_007424338.1	0.693
NC_020238|YP_007420196.1	NC_020238|YP_007422606.1	0.217
NC_020238|YP_007420194.1	NC_020238|YP_007422134.1	0.299
NC_020238|YP_007420194.1	NC_020238|YP_007422892.1	0.299
NC_020238|YP_007420472.1	NC_020238|YP_007424573.1	1.22
NC_020238|YP_007419878.1	NC_020238|YP_007421371.1	0.383
NC_020238|YP_007421007.1	NC_020238|YP_007424479.1	0.275
NC_020238|YP_007422758.1	NC_020238|YP_007422885.1	1.951
NC_020238|YP_007422892.1	NC_020238|YP_007424027.1	1.162
NC_020238|YP_007419863.1	NC_020238|YP_007421356.1	1.964
NC_020238|YP_007419287.1	NC_020238|YP_007424125.1	1.181
NC_020238|YP_007421481.1	NC_020238|YP_007424127.1	0.359
NC_020238|YP_007422455.1	NC_020238|YP_007424209.1	0.156
NC_020238|YP_007420227.1	NC_020238|YP_007422632.1	0.626
NC_020238|YP_007423429.1	NC_020238|YP_007424854.1	1.189
NC_020238|YP_007419656.1	NC_020238|YP_007423125.1	0.263
NC_020238|YP_007423011.1	NC_020238|YP_007424960.1	0.374
NC_020238|YP_007420385.1	NC_020238|YP_007422626.1	0.168
NC_020238|YP_007420114.1	NC_020238|YP_007424933.1	1.024
NC_020238|YP_007420199.1	NC_020238|YP_007424026.1	1.297
