NC_000913|NP_418313.4	NC_000913|NP_418544.2	0.439
NC_000913|NP_415891.1	NC_000913|NP_416064.1	1.879
NC_000913|NP_414804.1	NC_000913|NP_416133.1	0.581
NC_000913|NP_415459.1	NC_000913|NP_418736.3	0.721
NC_000913|NP_415893.2	NC_000913|NP_416062.2	0.658
NC_000913|NP_416098.1	NC_000913|YP_026237.1	0.711
NC_000913|NP_417269.1	NC_000913|NP_418146.4	1.55
NC_000913|NP_414559.1	NC_000913|NP_416080.1	0.301
NC_000913|NP_415458.2	NC_000913|NP_418734.1	0.125
NC_000913|NP_414563.1	NC_000913|NP_417901.1	0.844
NC_000913|NP_416841.1	NC_000913|NP_417515.1	0.09
NC_000913|NP_415346.4	NC_000913|NP_418381.1	1.354
NC_000913|NP_415381.1	NC_000913|NP_415384.1	1.55
NC_000913|NP_417901.1	NC_000913|YP_588445.1	0.835
NC_000913|NP_414681.1	NC_000913|NP_416612.1	1.605
NC_000913|NP_415738.2	NC_000913|NP_416485.4	0.54
NC_000913|NP_416048.2	NC_000913|NP_418486.1	0.334
NC_000913|NP_417289.2	NC_000913|NP_417310.1	0.323
NC_000913|NP_417688.1	NC_000913|NP_418033.1	0.232
NC_000913|NP_414990.2	NC_000913|NP_418485.1	1.172
NC_000913|NP_414581.1	NC_000913|NP_416210.4	1.672
NC_000913|NP_418735.2	NC_000913|NP_418738.1	0.249
NC_000913|NP_415415.1	NC_000913|NP_416106.1	1.984
NC_000913|NP_415890.2	NC_000913|NP_416065.1	1.234
NC_000913|NP_416409.1	NC_000913|NP_418358.1	0.232
NC_000913|NP_415461.1	NC_000913|NP_417614.1	0.089
NC_000913|NP_416883.1	NC_000913|NP_418389.1	0.591
NC_000913|NP_417681.1	NC_000913|NP_417686.1	0.252
NC_000913|NP_414563.1	NC_000913|NP_418714.1	0.784
NC_000913|NP_414762.1	NC_000913|NP_416172.1	0.716
NC_000913|NP_416845.2	NC_000913|NP_418357.1	0.183
NC_000913|NP_415631.1	NC_000913|NP_416193.1	1.292
NC_000913|NP_417972.1	NC_000913|NP_417973.1	0.242
NC_000913|NP_414776.1	NC_000913|NP_416719.1	1.871
NC_000913|YP_025295.1	NC_000913|YP_026229.1	0.089
NC_000913|NP_414739.1	NC_000913|NP_418117.1	1.389
NC_000913|NP_415031.1	NC_000913|NP_417940.2	0.36
NC_000913|NP_418486.1	NC_000913|NP_418813.1	0.461
NC_000913|NP_417515.1	NC_000913|NP_418738.1	0.078
NC_000913|NP_417515.1	NC_000913|NP_418734.1	0.142
NC_000913|NP_415500.1	NC_000913|NP_415522.1	0.782
NC_000913|NP_414980.2	NC_000913|YP_026267.1	0.713
NC_000913|NP_414808.1	NC_000913|NP_416407.1	1.596
NC_000913|NP_416896.4	NC_000913|NP_416998.1	1.258
NC_000913|NP_415063.4	NC_000913|NP_418734.1	0.418
NC_000913|NP_418114.4	NC_000913|YP_026275.1	0.578
NC_000913|NP_415129.1	NC_000913|NP_416201.1	0.683
NC_000913|NP_415878.1	NC_000913|NP_418781.1	1.035
NC_000913|NP_415458.2	NC_000913|NP_418735.2	0.138
NC_000913|NP_415145.1	NC_000913|NP_415291.1	1.023
NC_000913|NP_414559.1	NC_000913|YP_025292.1	0.374
NC_000913|NP_414808.1	NC_000913|NP_415508.1	1.633
NC_000913|NP_414809.1	NC_000913|NP_418714.1	0.775
